_season,_player_id,_player,_team,_conference,_category,_stat_type,_stat,discriminator
,515506,Manoa Pikula,BYU,FBS Independents,interceptions,TD,0.0,
,515861,William Boyd,Arkansas State,Sun Belt,receiving,YDS,-1.0,
,535271,Cole Leininger,California,Pac-12,passing,ATT,1.0,
,532122,Tra Carson,Texas A&M,SEC,passing,YDS,0.0,
,514917,Taylor Lasecki,SMU,American Athletic,receiving,TD,0.0,
,546418,Justin Davis,USC,Pac-12,receiving,YPR,7.1,
,533235,Casey Cochran,Connecticut,American Athletic,rushing,YDS,-6.0,
,513949,Taylor Heinicke,Old Dominion,Conference USA,rushing,CAR,80.0,
,516997,Stephen Anderson,California,Pac-12,receiving,YPR,14.4,
,514917,Taylor Lasecki,SMU,American Athletic,receiving,YPR,0.0,
,547197,Keith Kirkwood,Temple,American Athletic,receiving,LONG,39.0,
,515191,Ian Seau,Nevada,Mountain West,interceptions,TD,1.0,
,3125745,Roger Lewis,Bowling Green,Mid-American,receiving,TD,7.0,
,508163,T.J. Glover,South Alabama,Sun Belt,rushing,CAR,2.0,
,3124545,Chad Olsen,Fresno State,Mountain West,receiving,TD,4.0,
,535332,Cleveland Wallace III,San José State,Mountain West,interceptions,TD,0.0,
,551028,Lamar Jordan,New Mexico,Mountain West,rushing,CAR,120.0,
,545522,Charlie Reid,TCU,Big 12,receiving,TD,1.0,
,3126286,Bishop Louie,Tulsa,American Athletic,kickReturns,YDS,168.0,
,531236,B.J. Catalon,TCU,Big 12,receiving,REC,14.0,
,545284,Austin Wilson,Syracuse,ACC,passing,PCT,0.56,
,515874,Stephen Hogan,Arkansas State,Sun Belt,rushing,YDS,34.0,
,552519,Shaquille Murray-Lawrence,UNLV,Mountain West,rushing,YDS,552.0,
,504087,Alan Turner,Arkansas,SEC,interceptions,TD,0.0,
,552888,Tyler Sarrazin,Southern Mississippi,Conference USA,passing,YPA,0.0,
,512368,Kevin Byard,Middle Tennessee,Conference USA,puntReturns,LONG,76.0,
,511843,C.J. Uzomah,Auburn,SEC,passing,COMPLETIONS,1.0,
,504155,Ronnie Shields,Kentucky,SEC,receiving,YDS,29.0,
,515496,Nate Carter,BYU,FBS Independents,receiving,YPR,8.0,
,548437,Bentlee Critcher,Appalachian State,Sun Belt,punting,YDS,1667.0,
,3125731,Corey Lacanaria,Ball State,Mid-American,passing,INT,0.0,
,3123962,Daythan Davis,Southern Mississippi,Conference USA,receiving,LONG,25.0,
,552775,Taywan Taylor,Western Kentucky,Conference USA,receiving,YPR,17.0,
,545975,Andy Pappanastos,Ole Miss,SEC,kicking,FGM,0.0,
,3139605,Marlon Mack,South Florida,American Athletic,receiving,REC,21.0,
,505694,Austin McDaniel,Tulsa,American Athletic,interceptions,INT,1.0,
,512182,Jay Rome,Georgia,SEC,receiving,YDS,59.0,
,503427,Bryce Callahan,Rice,Conference USA,puntReturns,YDS,77.0,
,533295,Jordan Nelson,Nebraska,Big Ten,rushing,TD,0.0,
,545373,LeShun Daniels Jr.,Iowa,Big Ten,receiving,TD,0.0,
,504027,Jalston Fowler,Alabama,SEC,rushing,LONG,21.0,
,503974,Cody Riggs,Notre Dame,FBS Independents,puntReturns,TD,0.0,
,3125802,Mitch Stanitzek,Central Michigan,Mid-American,interceptions,INT,1.0,
,546533,Corey Willis,Central Michigan,Mid-American,receiving,REC,7.0,
,549869,Jeremy Tabuyo,Texas A&M,SEC,receiving,REC,7.0,
,545831,Jameel Erving,UTEP,Conference USA,puntReturns,AVG,0.0,
,549301,Favian Upshaw,Georgia Southern,Sun Belt,passing,COMPLETIONS,19.0,
,530938,Fred Tiller,Kentucky,SEC,interceptions,AVG,34.5,
,546044,Nick O'Toole,West Virginia,Big 12,punting,In 20,24.0,
,546370,O.J. Howard,Alabama,SEC,receiving,YPR,15.3,
,536157,Cody Rademacher,SMU,American Athletic,kicking,XPA,12.0,
,504278,Patrick Fish,South Carolina,SEC,punting,NO,2.0,
,500412,Tony Jones,Northwestern,Big Ten,receiving,REC,35.0,
,549800,Kennard Swanson,South Florida,American Athletic,receiving,TD,0.0,
,512651,Jonathan McNeal,Nevada,Mountain West,interceptions,YDS,20.0,
,550506,K.J. Young,Oklahoma,Big 12,receiving,REC,19.0,
,535744,Kenyan Drake,Alabama,SEC,receiving,YDS,159.0,
,534754,D.J. Foster,Arizona State,Pac-12,passing,YPA,-3.0,
,547535,Nadir Barnwell,Rutgers,Big Ten,puntReturns,LONG,13.0,
,519055,Trey Anderson,Pittsburgh,ACC,rushing,CAR,3.0,
,532687,Jasen Oden Jr.,Colorado State,Mountain West,kickReturns,NO,4.0,
,535940,Zack Ryan,Ball State,Mid-American,interceptions,AVG,27.0,
,518315,Chris Gradone,Northwestern,Big Ten,punting,YPP,37.9,
,149368,Jake Thompson,Utah State,Mountain West,kicking,LONG,0.0,
,535750,Cyrus Jones,Alabama,SEC,interceptions,TD,0.0,
,514788,Justyn Shackleford,Tulane,American Athletic,receiving,LONG,27.0,
,518128,Tyler Scott,UCLA,Pac-12,receiving,LONG,12.0,
,531126,Mike Summers Jr.,Georgia Tech,ACC,receiving,YDS,45.0,
,514482,Ryan Bustin,Texas Tech,Big 12,kicking,XPA,43.0,
,534754,D.J. Foster,Arizona State,Pac-12,rushing,CAR,194.0,
,549515,Adrian Henderson,Memphis,American Athletic,rushing,YPC,11.0,
,381494,Christian Stewart,BYU,FBS Independents,passing,YPA,7.5,
,518024,Josiah Yazdani,Ohio,Mid-American,kicking,XPM,27.0,
,553235,Matt Linehan,Idaho,Sun Belt,rushing,TD,1.0,
,545472,Conor Rhoda,Minnesota,Big Ten,passing,PCT,0.0,
,554889,Matt VandeBerg,Iowa,Big Ten,kickReturns,NO,3.0,
,502451,AJ Moore,BYU,FBS Independents,rushing,LONG,22.0,
,512961,Tim Hamilton,Central Michigan,Mid-American,kickReturns,NO,1.0,
,546345,Brice Ramsey,Georgia,SEC,passing,INT,2.0,
,559679,Speedy Noil,Texas A&M,SEC,puntReturns,YDS,180.0,
,3139185,Steven Witkowski,New Mexico State,Sun Belt,punting,YDS,1595.0,
,549811,Ezekiel Elliott,Ohio State,Big Ten,receiving,TD,0.0,
,504245,Brandon Hill,Mississippi State,SEC,receiving,YDS,57.0,
