_team,_conference,_position_group,_average_rating,_total_rating,_commits,_average_stars,discriminator
Memphis,American Athletic,All Positions,0.796699743776421,304.339,382.0,2.5078534031413615,
Miami,ACC,All Positions,0.89312889761881,389.404,436.0,3.518348623853211,
Miami (OH),Mid-American,All Positions,0.784914567487911,323.384,412.0,2.3737864077669903,
Michigan,Big Ten,All Positions,0.89570905139734,415.609,464.0,3.532327586206897,
Michigan State,Big Ten,All Positions,0.852648664855029,350.439,411.0,3.05352798053528,
Middle Tennessee,Conference USA,All Positions,0.782422226378721,274.63,351.0,2.3846153846153846,
Minnesota,Big Ten,All Positions,0.823773307363372,364.108,442.0,2.7805429864253393,
Mississippi State,SEC,All Positions,0.847298115913598,359.254,424.0,3.0400943396226414,
Missouri,SEC,All Positions,0.847297800490792,346.545,409.0,3.0122249388753057,
Navy,American Athletic,All Positions,0.774411413854766,319.057,412.0,2.2233009708737863,
NC State,ACC,All Positions,0.842981548826593,338.036,401.0,2.9850374064837903,
Nebraska,Big Ten,All Positions,0.86385925039649,345.544,400.0,3.1625,
Nevada,Mountain West,All Positions,0.782684172524346,281.766,360.0,2.375,
New Mexico,Mountain West,All Positions,0.781713231148258,242.331,310.0,2.3774193548387097,
New Mexico State,FBS Independents,All Positions,0.766035200357437,191.509,250.0,2.2,
North Carolina,ACC,All Positions,0.86031180675383,371.655,432.0,3.1435185185185186,
Northern Illinois,Mid-American,All Positions,0.777456067792338,339.748,437.0,2.318077803203661,
North Texas,Conference USA,All Positions,0.780661301531659,252.153,323.0,2.3529411764705883,
Northwestern,Big Ten,All Positions,0.831110728170533,310.004,373.0,2.8471849865951744,
Notre Dame,FBS Independents,All Positions,0.898937499357594,388.341,432.0,3.5625,
Ohio,Mid-American,All Positions,0.773925650360261,268.552,347.0,2.2910662824207493,
Ohio State,Big Ten,All Positions,0.922694180219892,348.778,378.0,3.8412698412698414,
Oklahoma,Big 12,All Positions,0.901222946131287,373.106,414.0,3.582125603864734,
Oklahoma State,Big 12,All Positions,0.849582567919253,350.877,413.0,3.026634382566586,
Old Dominion,Conference USA,All Positions,0.786119289809677,154.866,197.0,2.3401015228426396,
Ole Miss,SEC,All Positions,0.860477306036803,363.982,423.0,3.132387706855792,
Oregon,Pac-12,All Positions,0.869621869387146,353.936,407.0,3.243243243243243,
Oregon State,Pac-12,All Positions,0.827709950077596,316.185,382.0,2.8481675392670156,
Penn State,Big Ten,All Positions,0.880366260090201,360.07,409.0,3.3960880195599024,
Pittsburgh,ACC,All Positions,0.844135765889112,358.758,425.0,2.992941176470588,
Purdue,Big Ten,All Positions,0.828544474058128,337.217,407.0,2.86977886977887,
Rice,Conference USA,All Positions,0.786345710714768,283.871,361.0,2.3628808864265927,
Rutgers,Big Ten,All Positions,0.830631370954918,352.188,424.0,2.8820754716981134,
San Diego State,Mountain West,All Positions,0.804014876408455,313.566,390.0,2.5974358974358975,
San José State,Mountain West,All Positions,0.784835068436412,241.729,308.0,2.3863636363636362,
SMU,American Athletic,All Positions,0.800620981542076,328.254,410.0,2.502439024390244,
South Alabama,Sun Belt,All Positions,0.790038695292813,132.726,168.0,2.386904761904762,
South Carolina,SEC,All Positions,0.864115035072274,379.346,439.0,3.173120728929385,
Southern Mississippi,Conference USA,All Positions,0.797892188286846,296.018,371.0,2.4932614555256065,
South Florida,American Athletic,All Positions,0.817975738366445,306.74,375.0,2.728,
Stanford,Pac-12,All Positions,0.865505115760257,338.412,391.0,3.184143222506394,
Syracuse,ACC,All Positions,0.822211280353087,328.062,399.0,2.807017543859649,
TCU,Big 12,All Positions,0.842215429595176,316.673,376.0,2.9175531914893615,
Temple,American Athletic,All Positions,0.787673270641072,306.405,389.0,2.4524421593830334,
Tennessee,SEC,All Positions,0.890586128570889,398.092,447.0,3.447427293064877,
Texas,Big 12,All Positions,0.911342021990358,405.547,445.0,3.7235955056179777,
Texas A&M,SEC,All Positions,0.88235462447095,400.589,454.0,3.3854625550660793,
Texas State,Sun Belt,All Positions,0.791584935498564,115.571,146.0,2.356164383561644,
Texas Tech,Big 12,All Positions,0.842667214857425,308.416,366.0,2.980874316939891,
Toledo,Mid-American,All Positions,0.79465195405774,325.807,410.0,2.4926829268292683,
Troy,Sun Belt,All Positions,0.776003355753488,277.809,358.0,2.298882681564246,
Tulane,American Athletic,All Positions,0.793228271596505,333.949,421.0,2.441805225653207,
Tulsa,American Athletic,All Positions,0.795043412800674,289.396,364.0,2.458791208791209,
UAB,Conference USA,All Positions,0.778188240177491,264.584,340.0,2.2970588235294116,
UCF,American Athletic,All Positions,0.811122079161887,304.982,376.0,2.6914893617021276,
UCLA,Pac-12,All Positions,0.873984488923112,366.2,419.0,3.3007159904534604,
UMass,FBS Independents,All Positions,0.791332777341207,142.44,180.0,2.411111111111111,
UNLV,Mountain West,All Positions,0.782284370741661,265.194,339.0,2.3864306784660765,
USC,Pac-12,All Positions,0.919843499809504,367.937,400.0,3.785,
Utah,Pac-12,All Positions,0.83052399237721,287.361,346.0,2.8294797687861273,
Utah State,Mountain West,All Positions,0.768570758449207,244.405,318.0,2.251572327044025,
UTEP,Conference USA,All Positions,0.772390038517446,217.041,281.0,2.2206405693950177,
UT San Antonio,Conference USA,All Positions,0.802442207738951,123.576,154.0,2.5584415584415585,
Vanderbilt,SEC,All Positions,0.825457043439439,340.088,412.0,2.79126213592233,
Virginia,ACC,All Positions,0.847592144494965,355.988,420.0,3.057142857142857,
Virginia Tech,ACC,All Positions,0.85629881936044,362.214,423.0,3.0945626477541373,
Wake Forest,ACC,All Positions,0.820205977365568,315.779,385.0,2.7818181818181817,
Washington,Pac-12,All Positions,0.86018430977292,367.299,427.0,3.1850117096018735,
Washington State,Pac-12,All Positions,0.822158567193482,355.172,432.0,2.7685185185185186,
Western Kentucky,Conference USA,All Positions,0.79317162031526,176.084,222.0,2.445945945945946,
Western Michigan,Mid-American,All Positions,0.792478160661401,326.501,412.0,2.4514563106796117,
West Virginia,Big 12,All Positions,0.836065754145384,334.426,400.0,2.8975,
Wisconsin,Big Ten,All Positions,0.840509053887121,380.75,453.0,2.9139072847682117,
Wyoming,Mountain West,All Positions,0.775651982245785,293.972,379.0,2.2744063324538257,
