_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
401234594,2020,4,regular,2020-09-26T16:00:00.000Z,False,False,True,,1964,Carrier Dome,183,Syracuse,ACC,37,"[17, 6, 7, 7]",0.8503571663862142,59,Georgia Tech,ACC,20,"[0, 13, 7, 0]",0.14964283361378583,7.2956174238,https://www.youtube.com/watch?v=t9Lje4n83L4,,
401207126,2020,4,regular,2020-09-26T17:00:00.000Z,False,False,False,,3992,Williams Stadium,2335,Liberty,FBS Independents,36,"[14, 0, 13, 9]",0.5025595565425557,2229,Florida International,Conference USA,34,"[14, 0, 14, 6]",0.4974404434574443,7.1424725496,https://www.youtube.com/watch?v=-t6OXsJ8uNc,,
401235994,2020,4,regular,2020-09-26T17:30:00.000Z,False,False,True,,3616,Amon G. Carter Stadium,2628,TCU,Big 12,34,"[0, 7, 14, 13]",0.2317076453479792,66,Iowa State,Big 12,37,"[0, 16, 7, 14]",0.7682923546520208,7.792093109,https://www.youtube.com/watch?v=eDdSB3TcX90,,
401235997,2020,4,regular,2020-09-26T19:30:00.000Z,False,False,True,,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,27,"[0, 20, 0, 7]",0.9834679474754852,277,West Virginia,Big 12,13,"[0, 7, 3, 3]",0.01653205252451484,5.4786056479,https://www.youtube.com/watch?v=FQrXTPf-49k,,
401240194,2020,4,regular,2020-09-26T19:30:00.000Z,False,False,False,,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,6,"[0, 0, 6, 0]",0.00034666041445282546,2638,UTEP,Conference USA,31,"[7, 17, 0, 7]",0.9996533395855471,2.4813557374,https://www.youtube.com/watch?v=GfufziJHZBk,,
401240996,2020,4,regular,2020-09-26T19:30:00.000Z,False,False,False,,3854,Nippert Stadium,2132,Cincinnati,American Athletic,24,"[3, 7, 7, 7]",0.8658358812324609,349,Army,FBS Independents,10,"[7, 0, 0, 3]",0.1341641187675391,5.4817205335,https://www.youtube.com/watch?v=qfQv3kXBpJA,,
401237035,2020,4,regular,2020-09-26T19:30:00.000Z,False,False,True,,3958,Tiger Stadium,99,LSU,SEC,34,"[0, 14, 10, 10]",0.010667582011628682,344,Mississippi State,SEC,44,"[3, 14, 10, 17]",0.9893324179883713,8.0429060239,https://www.youtube.com/watch?v=9fwhr-dnPnM,,
401235995,2020,4,regular,2020-09-26T19:30:00.000Z,False,False,True,,3784,Jones AT&T Stadium,2641,Texas Tech,Big 12,56,"[7, 14, 21, 14, 0]",0.11513340234968394,251,Texas,Big 12,63,"[17, 14, 7, 18, 7]",0.8848665976503161,6.1244761314,https://www.youtube.com/watch?v=rPH6jTqDgL4,,
401234638,2020,4,regular,2020-09-26T20:00:00.000Z,False,False,True,,3923,Scott Stadium,258,Virginia,ACC,38,"[0, 17, 0, 21]",0.9568803331300655,150,Duke,ACC,20,"[10, 0, 10, 0]",0.043119666869934514,8.2935602524,https://www.youtube.com/watch?v=XTX7IHNy66c,,
401237033,2020,4,regular,2020-09-26T20:00:00.000Z,False,False,True,,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,10,"[7, 0, 3, 0]",0.02563313366499007,61,Georgia,SEC,37,"[0, 5, 22, 10]",0.9743668663350099,3.6135901615,https://www.youtube.com/watch?v=DBDmkduqn6Q,,
