_configuration,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
<cfbd.configuration.Configuration object at 0x00000231BF3DF8E0>,322452459,2012,1,regular,2012-09-01T19:30:00.000Z,,True,False,52117,,,2459,Northern Illinois,Mid-American,17,"[0, 10, 7, 0]",0.1894818416470776,2294,Iowa,Big Ten,18,"[3, 3, 3, 9]",0.8105181583529224,5.62768375884708,,,
<cfbd.configuration.Configuration object at 0x00000231BF3DFEE0>,322450103,2012,1,regular,2012-09-01T19:30:00.000Z,,False,True,39262,3615,Alumni Stadium,103,Boston College,ACC,32,"[14, 6, 3, 9]",0.7371573643601971,2390,Miami,ACC,41,"[14, 7, 10, 10]",0.2628426356398029,4.67200659655908,,,
<cfbd.configuration.Configuration object at 0x00000231BF3E7520>,322450057,2012,1,regular,2012-09-01T19:30:00.000Z,,False,False,84704,3634,Ben Hill Griffin Stadium,57,Florida,SEC,27,"[0, 14, 3, 10]",0.6326812607447655,189,Bowling Green,Mid-American,14,"[7, 0, 7, 0]",0.3673187392552345,5.48765951014891,,,
<cfbd.configuration.Configuration object at 0x00000231BF3E7B20>,322450038,2012,1,regular,2012-09-01T20:00:00.000Z,,True,False,58607,,,38,Colorado,Pac-12,17,"[0, 14, 0, 3]",0.3522053208325775,36,Colorado State,Mountain West,22,"[3, 6, 7, 6]",0.6477946791674225,6.22213154449103,,,
<cfbd.configuration.Configuration object at 0x00000231BF3EC160>,322450167,2012,1,regular,2012-09-01T21:00:00.000Z,,False,False,28450,3971,University Stadium,167,New Mexico,Mountain West,66,"[7, 38, 14, 7]",,2582,Southern,,21,"[0, 6, 7, 8]",,,,,
<cfbd.configuration.Configuration object at 0x00000231BF3EC760>,322450052,2012,1,regular,2012-09-01T22:00:00.000Z,,False,False,70047,3697,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,69,"[14, 14, 20, 21]",0.9999576927262394,93,Murray State,,3,"[0, 3, 0, 0]",4.230727376064447e-05,1.83342602749954,,,
<cfbd.configuration.Configuration object at 0x00000231BF3ECD60>,322450154,2012,1,regular,2012-09-01T22:30:00.000Z,,False,False,27652,3630,BB&T Field,154,Wake Forest,ACC,20,"[0, 7, 7, 6]",,2335,Liberty,,17,"[7, 0, 7, 3]",,,,,
<cfbd.configuration.Configuration object at 0x00000231BF3F33A0>,322450221,2012,1,regular,2012-09-01T22:30:00.000Z,,False,False,40837,3752,Heinz Field,221,Pittsburgh,Big East,17,"[7, 3, 0, 7]",0.6578499084490644,2754,Youngstown State,,31,"[7, 7, 7, 10]",0.34215009155093556,4.68922735150242,,,
<cfbd.configuration.Configuration object at 0x00000231BF3F39A0>,322452641,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,50237,3784,Jones AT&T Stadium,2641,Texas Tech,Big 12,44,"[7, 17, 3, 17]",0.9993344911632294,2466,Northwestern State,,6,"[0, 3, 0, 3]",0.0006655088367706341,4.09828191240106,,,
<cfbd.configuration.Configuration object at 0x00000231BF3F3FA0>,322450002,2012,1,regular,2012-09-01T23:00:00.000Z,,True,False,75211,3495,Georgia Dome,2,Auburn,SEC,19,"[7, 3, 6, 3]",0.4198835174208797,228,Clemson,ACC,26,"[3, 10, 3, 10]",0.5801164825791203,6.63402984301425,,,
<cfbd.configuration.Configuration object at 0x00000231BF3F85E0>,322450008,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,71062,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,49,"[7, 28, 14, 0]",0.9756176614804177,55,Jacksonville State,,24,"[7, 14, 3, 0]",0.02438233851958227,3.6809906734325,,,
<cfbd.configuration.Configuration object at 0x00000231BF3F8BE0>,322450344,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,55082,3693,Davis Wade Stadium,344,Mississippi State,SEC,56,"[14, 21, 14, 7]",0.9972143581868212,2296,Jackson State,,9,"[0, 6, 0, 3]",0.002785641813178752,1.45464906629981,,,
<cfbd.configuration.Configuration object at 0x00000231BF3FE220>,322450058,2012,1,regular,2012-09-01T23:00:00.000Z,,False,False,41285,3886,Raymond James Stadium,58,South Florida,Big East,34,"[7, 14, 6, 7]",0.8504710320763423,236,Chattanooga,,13,"[3, 7, 3, 0]",0.14952896792365766,3.67197487360893,,,
