_id,_season,_week,_season_type,_home_team,_home_conference,_home_score,_away_team,_away_conference,_away_score,_lines,discriminator
400869159,2016,11,regular,Oregon,Pac-12,27,Stanford,Pac-12,52,"[{'provider': 'consensus', 'spread': '1', 'formattedSpread': 'Stanford -1', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '3', 'formattedSpread': 'Stanford -3', 'spreadOpen': None, 'overUnder': '58.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '3', 'formattedSpread': 'Stanford -3', 'spreadOpen': None, 'overUnder': '57.5', 'overUnderOpen': None}]",
400869405,2016,11,regular,Florida Atlantic,Conference USA,35,UTEP,Conference USA,31,"[{'provider': 'consensus', 'spread': '-2', 'formattedSpread': 'Florida Atlantic -2', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-4', 'formattedSpread': 'Florida Atlantic -4', 'spreadOpen': None, 'overUnder': '54', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-4', 'formattedSpread': 'Florida Atlantic -4', 'spreadOpen': None, 'overUnder': '54.5', 'overUnderOpen': None}]",
400869407,2016,11,regular,Marshall,Conference USA,42,Middle Tennessee,Conference USA,17,"[{'provider': 'consensus', 'spread': '11.5', 'formattedSpread': 'Middle Tennessee -11.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '8', 'formattedSpread': 'Middle Tennessee -8', 'spreadOpen': None, 'overUnder': '60', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '8', 'formattedSpread': 'Middle Tennessee -8', 'spreadOpen': None, 'overUnder': '60', 'overUnderOpen': None}]",
400869559,2016,11,regular,Memphis,American Athletic,42,South Florida,American Athletic,49,"[{'provider': 'consensus', 'spread': '3', 'formattedSpread': 'South Florida -3', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '3', 'formattedSpread': 'South Florida -3', 'spreadOpen': None, 'overUnder': '75', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '3', 'formattedSpread': 'South Florida -3', 'spreadOpen': None, 'overUnder': '76.5', 'overUnderOpen': None}]",
400869158,2016,11,regular,UCLA,Pac-12,38,Oregon State,Pac-12,24,"[{'provider': 'consensus', 'spread': '-10', 'formattedSpread': 'UCLA -10', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-11', 'formattedSpread': 'UCLA -11', 'spreadOpen': None, 'overUnder': '49', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-11.5', 'formattedSpread': 'UCLA -11.5', 'spreadOpen': None, 'overUnder': '48.5', 'overUnderOpen': None}]",
400869243,2016,11,regular,Utah State,Mountain West,21,New Mexico,Mountain West,24,"[{'provider': 'consensus', 'spread': '-2.5', 'formattedSpread': 'Utah State -2.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '1.5', 'formattedSpread': 'New Mexico -1.5', 'spreadOpen': None, 'overUnder': '57.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '1.5', 'formattedSpread': 'New Mexico -1.5', 'spreadOpen': None, 'overUnder': '57', 'overUnderOpen': None}]",
400869245,2016,11,regular,Nevada,Mountain West,16,San Diego State,Mountain West,46,"[{'provider': 'consensus', 'spread': '20.5', 'formattedSpread': 'San Diego State -20.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '21.5', 'formattedSpread': 'San Diego State -21.5', 'spreadOpen': None, 'overUnder': '50.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '21.5', 'formattedSpread': 'San Diego State -21.5', 'spreadOpen': None, 'overUnder': '50.5', 'overUnderOpen': None}]",
400869330,2016,12,regular,Bowling Green,Mid-American,42,Kent State,Mid-American,7,"[{'provider': 'consensus', 'spread': '3', 'formattedSpread': 'Kent State -3', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '2.5', 'formattedSpread': 'Kent State -2.5', 'spreadOpen': None, 'overUnder': '54', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '2.5', 'formattedSpread': 'Kent State -2.5', 'spreadOpen': None, 'overUnder': '54', 'overUnderOpen': None}]",
400869331,2016,12,regular,Central Michigan,Mid-American,27,Ohio,Mid-American,20,"[{'provider': 'consensus', 'spread': '-1', 'formattedSpread': 'Central Michigan -1', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-1', 'formattedSpread': 'Central Michigan -1', 'spreadOpen': None, 'overUnder': '51', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '1', 'formattedSpread': 'Ohio -1', 'spreadOpen': None, 'overUnder': '51', 'overUnderOpen': None}]",
400869332,2016,12,regular,Toledo,Mid-American,37,Ball State,Mid-American,19,"[{'provider': 'consensus', 'spread': '-19', 'formattedSpread': 'Toledo -19', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'numberfire', 'spread': '-20', 'formattedSpread': 'Toledo -20', 'spreadOpen': None, 'overUnder': '68.5', 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-20', 'formattedSpread': 'Toledo -20', 'spreadOpen': None, 'overUnder': '68.5', 'overUnderOpen': None}]",
